Chinese,Pinyin,English,Russian
爱,ài,love,любовь
爱好,ài hào,hobby,хобби
八,bā,eight,восемь 
爸爸,bàba,dad,папа
爸,bà,dad,папа
吧,ba,(interjection particle),(частица междометия)
白天,bái tiān,day,день
百,bǎi,hundred,сто
班,bān,class,класс
半,bàn,half,половина
半年,bàn nián,half a year,Раз в полгода
半天,bàn tiān,half day,Часть дня
帮,bāng,help,Помощь
帮忙,bāng máng,help,Помощь
包,bāo,package,Пакет
包子,bāo zi,bun,Сдобная булочка
杯,bēi,cup,Чашка 
杯子,bēi zi,cup,чашка 
北,běi,north,север
北边,běi biān,North side,Северная сторона
北京,běi jīng,Beijing,Пекин
本子,běn zi,book,книга
比,bǐ,particle used for comparison,"частица, используемая для сравнения"
别的,bié de,other,другие
病,bìng,disease,заболевания
病人,bìng rén,patient,пациент
不大,bú dà,not big,не большой
不对,bú duì,wrong,насоса
不客气,bú kè qì,You're welcome,You're welcome
不用,bú yòng,No need to,В этом нет необходимости
不,bù,No,Нет
菜,cài,dish,блюдо
茶,chá,tea,чай
差,chà,differ from; bad; short of,отличаться от; плохо; не хватает
常,cháng,often,часто
常常,cháng cháng,often,часто
唱,chàng,sing,петь
唱歌,chàng gē,sing,петь
车,chē,car,кабина
车票,chē piào,ticket,билет
车上,chē shàng,in the car,в вагоне
车站,chē zhàn,station, станции
吃,chī,eat,есть
吃饭,chī fàn,have meal,есть еду
出,chū,out,Выходной
出来,chū lái,come,приходить
出去,chū qù,go out,выходить
穿,chuān,wear,надеть
床,chuáng,bed,кровать
从,cóng,from,от
错,cuò,wrong,насоса
打车,dǎ chē,take a taxi,взять такси
打电话,dǎ diàn huà,make a phonecall,совершить телефонный звонок
打开,dǎ kāi,turn on,включить
打球,dǎ qiú,play ball,Играйте мячом.
大,dà,"large, big","большой, большой"
大学,dà xué,university,университет
大学生,dà xué shēng,university student,Студент университета
到,dào,reach,добраться
得到,dé dào,get,взять
地,de,auxiliary word,вспомогательное слово
的,de,(aux.),ПОЛОЖЕНИЕ ВСПОМОГАТЕЛЬНОГО 
地,dì,ground,земля
地点,dìdiǎn,location,в СОУ
地方,dìfang,local,локально
地上,dì shàng,on the ground,the gunshots.
地图,dìtú,Map,Картирование
弟弟,dì di,younger brother,Младший брат
弟,dì,younger brother,Младший брат
点,diǎn,spot,прыщик
电,diàn,electricity,электричество
电话,diàn huà,phone,Телефон
电脑,diànnǎo,Computer,Компьютерное
电视,diànshì,television,телевизор
电视机,diàn shì jī,television,телевизор
电影,diànyǐng,Film,Пленка
电影院,diàn yǐng,yuàn  cinema; movie theater,кинотеатр yuàn; кинотеатр
东,dōng,east,Ист
东边,dōng biān,east side,Восточная сторона
东西,dōngxi,thing,вещь
动,dòng,move,двигаться 
动作,dòngzuò,action,действия
都,dōu,all,все
读,dú,read,читали
读书,dú shū,reading; study,чтение; изучение
对不起,duìbuqǐ,I'm sorry.,Извиняюсь.
多少,duōshao,how much,сколько
饿,è,hungry,голодный
儿子,érzi,Son,Сын
二,èr,Two,Два
饭,fàn,rice; meal,рис; мука
饭店,fàndiàn,restaurant,ресторан
房间,fángjiān,Room,Комната
房子,fáng zi,house; building,Корпус
放,fàng,discharge,разряд
放假,fàng jià,holiday; have a holiday,праздник; есть праздник
放学,fàng xué,off school,Скоро в школу
飞,fēi,fly,летать
飞机,fēijī,aircraft,летательные аппараты
非常,fēicháng,very,очень
风,fēng,wind,ветер
干,gān,dry,сухой
干净,gānjìng,clean,Произведите очистку
干,gàn,do,do
干什么,gàn shén me,What to do,Что делать
高,gāo,high,высокая
高兴,gāoxìng,happy,счастье
告诉,gàosu,tell,рассказывать
哥哥,gē ge,elder brother,Старший брат
哥,gē,elder brother,Старший брат
歌,gē,song,песня
个,gè,individual,по отдельности
给,gěi,give,дай
跟,gēn,with,где
工人,gōngrén,Worker,Рабочий
工作,gōngzuò,work,работа
